-0.002,4.42527e-07
-0.00197732,-0.113596
-0.00195465,-0.224889
-0.00193197,-0.331625
-0.0019093,-0.431641
-0.00188662,-0.522909
-0.00186395,-0.603581
-0.00184127,-0.672021
-0.00181859,-0.726842
-0.00179592,-0.766934
-0.00177324,-0.791484
-0.00175057,-0.799995
-0.00172789,-0.792294
-0.00170522,-0.768536
-0.00168254,-0.729205
-0.00165986,-0.675096
-0.00163719,-0.607306
-0.00161451,-0.527209
-0.00159184,-0.436428
-0.00156916,-0.336803
-0.00154649,-0.230353
-0.00152381,-0.119234
-0.00150113,-0.00569951
-0.00147846,0.107951
-0.00145578,0.219413
-0.00143311,0.32643
-0.00141043,0.426831
-0.00138776,0.518582
-0.00136508,0.599824
-0.0013424,0.668911
-0.00131973,0.724443
-0.00129705,0.765293
-0.00127438,0.790635
-0.0012517,0.799954
-0.00122903,0.793063
-0.00120635,0.7701
-0.00118367,0.731531
-0.001161,0.678137
-0.00113832,0.611001
-0.00111565,0.531483
-0.00109297,0.441194
-0.0010703,0.341965
-0.00104762,0.235806
-0.00102494,0.124868
-0.00100227,0.0113995
-0.000979592,-0.1023
-0.000956916,-0.213926
-0.000934241,-0.321217
-0.000911565,-0.421999
-0.000888889,-0.514229
-0.000866214,-0.596037
-0.000843538,-0.665768
-0.000820862,-0.722006
-0.000798186,-0.763613
-0.000775511,-0.789745
-0.000752835,-0.799873
-0.000730159,-0.793792
-0.000707484,-0.771624
-0.000684808,-0.733819
-0.000662132,-0.681144
-0.000639456,-0.614665
-0.000616781,-0.53573
-0.000594105,-0.445938
-0.000571429,-0.34711
-0.000548753,-0.241247
-0.000526078,-0.130495
-0.000503402,-0.0170988
-0.000480726,0.0966439
-0.000458051,0.208428
-0.000435375,0.315988
-0.000412699,0.417145
-0.000390023,0.509849
-0.000367348,0.59222
-0.000344672,0.66259
-0.000321996,0.719533
-0.00029932,0.761894
-0.000276645,0.788815
-0.000253969,0.799751
-0.000231293,0.79448
-0.000208618,0.773109
-0.000185942,0.736071
-0.000163266,0.684116
-0.00014059,0.618298
-0.000117915,0.539949
-9.52388e-05,0.450659
-7.25631e-05,0.352236
-4.98873e-05,0.246675
-2.72116e-05,0.136115
-4.53586e-06,0.0227966
1.81399e-05,-0.0909837
4.08156e-05,-0.20292
6.34914e-05,-0.310745
8.61671e-05,-0.412272
0.000108843,-0.505444
0.000131519,-0.588374
0.000154194,-0.65938
0.00017687,-0.717023
0.000199546,-0.760137
0.000222222,-0.787846
0.000244897,-0.799589
0.000267573,-0.795128
0.000290249,-0.774555
0.000312924,-0.738285
0.0003356,-0.687053
0.000358276,-0.621898
0.000380952,-0.544141
0.000403627,-0.455357
0.000426303,-0.357344
0.000448979,-0.25209
0.000471655,-0.141728
0.00049433,-0.0284932
0.000517006,0.0853188
0.000539682,0.197402
0.000562357,0.305485
0.000585033,0.407377
0.000607709,0.501013
0.000630385,0.584497
0.00065306,0.656135
0.000675736,0.714477
0.000698412,0.75834
0.000721088,0.786836
0.000743763,0.799386
0.000766439,0.795736
0.000789115,0.775961
0.00081179,0.740461
0.000834466,0.689956
0.000857142,0.625468
0.000879818,0.548306
0.000902493,0.460032
0.000925169,0.362435
0.000947845,0.257494
0.00097052,0.147334
0.000993196,0.0341888
0.00101587,-0.0796492
0.00103855,-0.191873
0.00106122,-0.300209
0.0010839,-0.402461
0.00110657,-0.496557
0.00112925,-0.58059
0.00115193,-0.652858
0.0011746,-0.711895
0.00119728,-0.756506
0.00121995,-0.785786
0.00124263,-0.799142
0.0012653,-0.796304
0.00128798,-0.777328
0.00131066,-0.7426
0.00133333,-0.692823
0.00135601,-0.629006
0.00137868,-0.552442
0.00140136,-0.464683
0.00142404,-0.367507
0.00144671,-0.262884
0.00146939,-0.152933
0.00149206,-0.039883
0.00151474,0.0739753
0.00153741,0.186334
0.00156009,0.294917
0.00158277,0.397524
0.00160544,0.492075
0.00162812,0.576654
0.00165079,0.649547
0.00167347,0.709276
0.00169614,0.754633
0.00171882,0.784696
0.0017415,0.798858
0.00176417,0.796831
0.00178685,0.778656
0.00180952,0.744702
0.0018322,0.695656
0.00185487,0.632512
0.00187755,0.556551
0.00190023,0.469312
0.0019229,0.372561
0.00194558,0.268261
0.00196825,0.158524
0.00199093,0.0455745
